Customer ID,First Name,Last Name,Email,Phone
100,Akiko,Tanaka,akiko@demo.com,555-1234
101,Claudia,Rossi,claudia@demo.com,555-1235
102,Daniel,Wilson,daniel@demo.com,555-1236
103,David,Taylor,david@demo.com,555-1237
104,Deepak,Patel,deepak@demo.com,555-1238
105,Emily,Miller,emily@demo.com,555-1239
106,Jamal,Ali,jamal@demo.com,555-1240
107,James,Smith,james@demo.com,555-1241
108,Jessica,Moore,jessica@demo.com,555-1242
109,Juan,Martinez,juan@demo.com,555-1243
110,Laura,Anderson,laura@demo.com,555-1244
111,Léa,Dubois,léa@demo.com,555-1245
112,Mary,Brown,mary@demo.com,555-1246
113,Mei,Wong,mei@demo.com,555-1247
114,Michael,Davis,michael@demo.com,555-1248
115,Mohamed,Hassan,mohamed@demo.com,555-1249
116,Olumide,Adeyemi,olumide@demo.com,555-1250
117,Robert,Williams,robert@demo.com,555-1251
118,Sarah,Johnson,sarah@demo.com,555-1252
119,Svetlana,Ivanova,svetlana@demo.com,555-1253
